Topology_ID,N,Topology_Type,Edges,Avg_Degree,Final_r(t),Image_File,Cost,Efficiency
0,100,random,1521,30.42,0.2682998199451057,topo_0_N100_random.png,0.30727272727272725,0.2721093508571052
1,100,random,1253,25.06,0.3722130777410085,topo_1_N100_random.png,0.25313131313131315,0.37749805044727025
2,100,random,1012,20.24,0.1294641293543243,topo_2_N100_random.png,0.20444444444444446,0.1313023624283208
3,100,random,1327,26.54,0.4277945241081803,topo_3_N100_random.png,0.2680808080808081,0.4338686857080936
4,100,random,1867,37.34,0.7678960530769452,topo_4_N100_random.png,0.37717171717171716,0.7787992424715469
5,100,random,2390,47.8,0.9218248874921756,topo_5_N100_random.png,0.48282828282828283,0.9349136789981497
6,100,random,1449,28.98,0.3225596743305589,topo_6_N100_random.png,0.2927272727272727,0.32713962913849787
7,100,random,1269,25.38,0.3338187989837604,topo_7_N100_random.png,0.25636363636363635,0.3385586196589862
8,100,random,2107,42.14,0.8232822560700498,topo_8_N100_random.png,0.4256565656565657,0.83497186214001
9,100,random,2010,40.2,0.8096133812884507,topo_9_N100_random.png,0.40606060606060607,0.8211089059720595
10,100,random,2103,42.06,0.8904863657105336,topo_10_N100_random.png,0.42484848484848486,0.9031301883473972
11,100,random,1302,26.04,0.1093155821039325,topo_11_N100_random.png,0.263030303030303,0.11086773032853195
12,100,random,1807,36.14,0.7175045012081419,topo_12_N100_random.png,0.36505050505050507,0.7276921918946673
13,100,random,2280,45.6,0.9225284652277522,topo_13_N100_random.png,0.46060606060606063,0.9356272466812903
14,100,random,2239,44.78,0.8986934991559846,topo_14_N100_random.png,0.45232323232323235,0.9114538530993759
15,100,random,1754,35.08,0.1695771217734409,topo_15_N100_random.png,0.35434343434343435,0.17198491052073114
16,100,random,1240,24.8,0.3691494731153327,topo_16_N100_random.png,0.2505050505050505,0.37439094636443476
17,100,random,1089,21.78,0.2016455216750089,topo_17_N100_random.png,0.22,0.20450864267242283
18,100,random,1269,25.38,0.1714232801796574,topo_18_N100_random.png,0.25636363636363635,0.17385728212947
19,100,random,1069,21.38,0.3064942464308037,topo_19_N100_random.png,0.21595959595959596,0.31084609171481103
20,100,random,1258,25.16,0.3773485502222874,topo_20_N100_random.png,0.25414141414141417,0.38270644038771545
21,100,random,1102,22.04,0.4563156273098505,topo_21_N100_random.png,0.22262626262626262,0.46279475386394575
22,100,random,1525,30.5,0.6223546335132474,topo_22_N100_random.png,0.30808080808080807,0.6311913118795612
23,100,random,1152,23.04,0.2125488316549744,topo_23_N100_random.png,0.23272727272727273,0.21556676638435537
24,100,random,1509,30.18,0.4055240600929347,topo_24_N100_random.png,0.30484848484848487,0.4112820082078445
25,100,random,1915,38.3,0.664912136497954,topo_25_N100_random.png,0.38686868686868686,0.6743530796125294
26,100,random,2238,44.76,0.9174290311508034,topo_26_N100_random.png,0.45212121212121215,0.9304554068466566
27,100,random,1491,29.82,0.5153978446459858,topo_27_N100_random.png,0.3012121212121212,0.5227158667809186
28,100,random,1275,25.5,0.1304993247988047,topo_28_N100_random.png,0.25757575757575757,0.13235225638824005
29,100,random,2042,40.84,0.7204328165632101,topo_29_N100_random.png,0.4125252525252525,0.7306620857639048
30,100,random,1222,24.44,0.0986417064734075,topo_30_N100_random.png,0.24686868686868688,0.10004229865457151
31,100,random,1895,37.9,0.7852658396195913,topo_31_N100_random.png,0.38282828282828285,0.7964156588433989
32,100,random,1207,24.14,0.2331125011025517,topo_32_N100_random.png,0.24383838383838383,0.23642241491131002
33,100,random,1189,23.78,0.3526691968813581,topo_33_N100_random.png,0.2402020202020202,0.3576766702650691
34,100,random,2290,45.8,0.933935757548532,topo_34_N100_random.png,0.4626262626262626,0.9471965086699108
35,100,random,1248,24.96,0.2300218760114513,topo_35_N100_random.png,0.25212121212121213,0.23328790670532587
36,100,random,2200,44.0,0.8573681960117823,topo_36_N100_random.png,0.4444444444444444,0.8695417809450124
37,100,random,1388,27.76,0.4355416920597251,topo_37_N100_random.png,0.2804040404040404,0.4417258540159484
38,100,random,2046,40.92,0.7510869266130024,topo_38_N100_random.png,0.41333333333333333,0.7617514468691707
39,100,random,1861,37.22,0.8087135708730406,topo_39_N100_random.png,0.37595959595959594,0.8201963193438546
40,100,random,1214,24.28,0.4228519663467728,topo_40_N100_random.png,0.24525252525252525,0.4288559496417574
41,100,random,1720,34.4,0.6375775426117964,topo_41_N100_random.png,0.3474747474747475,0.6466303677604427
42,100,random,1825,36.5,0.8193816021930692,topo_42_N100_random.png,0.3686868686868687,0.8310158237252223
43,100,random,2231,44.62,0.904972230453172,topo_43_N100_random.png,0.4507070707070707,0.9178217347395253
44,100,random,2218,44.36,0.8804239096738643,topo_44_N100_random.png,0.4480808080808081,0.892924857681404
45,100,random,1620,32.4,0.7060054230064076,topo_45_N100_random.png,0.32727272727272727,0.7160298407772896
46,100,random,2430,48.6,0.9201434448354932,topo_46_N100_random.png,0.4909090909090909,0.9332083619021229
47,100,random,1159,23.18,0.280195596099276,topo_47_N100_random.png,0.23414141414141415,0.2841740325550467
48,100,random,1297,25.94,0.2293213108616684,topo_48_N100_random.png,0.26202020202020204,0.23257739438303085
49,100,random,2205,44.1,0.8756934820588734,topo_49_N100_random.png,0.44545454545454544,0.888127263751393
50,100,random,1106,22.12,0.2400714182598328,topo_50_N100_random.png,0.22343434343434343,0.24348014022295417
51,100,random,1561,31.22,0.6967549971276521,topo_51_N100_random.png,0.31535353535353533,0.7066480701091806
52,100,random,2361,47.22,0.9210476866115448,topo_52_N100_random.png,0.476969696969697,0.9341254428108974
53,100,random,2319,46.38,0.8814008887660201,topo_53_N100_random.png,0.4684848484848485,0.8939157086876471
54,100,random,1436,28.72,0.3404057928868554,topo_54_N100_random.png,0.2901010101010101,0.34523914085887975
55,100,random,1627,32.54,0.3016177077480833,topo_55_N100_random.png,0.3286868686868687,0.3059003121177315
56,100,random,1650,33.0,0.6751861598915736,topo_56_N100_random.png,0.3333333333333333,0.684772981634456
57,100,random,1319,26.38,0.3692601552087731,topo_57_N100_random.png,0.26646464646464646,0.37450320000889764
58,100,random,1810,36.2,0.6750718724640762,topo_58_N100_random.png,0.3656565656565657,0.6846570714645803
59,100,random,1090,21.8,0.0869742368218301,topo_59_N100_random.png,0.2202020202020202,0.08820916513370193
60,100,random,2280,45.6,0.8684776483483867,topo_60_N100_random.png,0.46060606060606063,0.880808973984165
61,100,random,1752,35.04,0.5430529630335106,topo_61_N100_random.png,0.35393939393939394,0.5507636541922014
62,100,random,1182,23.64,0.3348715000599708,topo_62_N100_random.png,0.2387878787878788,0.339626267809301
63,100,random,1031,20.62,0.255993900114497,topo_63_N100_random.png,0.2082828282828283,0.25962870194168053
64,100,random,1807,36.14,0.6948724522849575,topo_64_N100_random.png,0.36505050505050507,0.7047387954208494
65,100,random,1210,24.2,0.3399062368338436,topo_65_N100_random.png,0.24444444444444444,0.3447324917178941
66,100,random,1056,21.12,0.1445299381540251,topo_66_N100_random.png,0.21333333333333335,0.1465820873773074
67,100,random,2116,42.32,0.907231092166064,topo_67_N100_random.png,0.42747474747474745,0.9201126695396187
68,100,random,2496,49.92,0.9261491550506684,topo_68_N100_random.png,0.5042424242424243,0.9392993458931729
69,100,random,2361,47.22,0.8671815772678363,topo_69_N100_random.png,0.476969696969697,0.8794945002716392
70,100,random,2110,42.2,0.8825066089626964,topo_70_N100_random.png,0.4262626262626263,0.8950371287654122
71,100,random,1924,38.48,0.8966467742967057,topo_71_N100_random.png,0.3886868686868687,0.9093780672380383
72,100,random,1009,20.18,0.1533910115620742,topo_72_N100_random.png,0.20383838383838385,0.15556897724348295
73,100,random,1665,33.3,0.6628374309478317,topo_73_N100_random.png,0.33636363636363636,0.6722489157685919
74,100,random,1022,20.44,0.1391017347412378,topo_74_N100_random.png,0.20646464646464646,0.14107681008239129
75,100,random,1555,31.1,0.6468219902895553,topo_75_N100_random.png,0.31414141414141417,0.6560060753443766
76,100,random,2112,42.24,0.921043918989408,topo_76_N100_random.png,0.4266666666666667,0.9341216216931115
77,100,random,2377,47.54,0.9255759390175066,topo_77_N100_random.png,0.4802020202020202,0.9387179908899661
78,100,random,1158,23.16,0.1706684853259963,topo_78_N100_random.png,0.23393939393939395,0.17309177010750132
79,100,random,1402,28.04,0.0612776896297992,topo_79_N100_random.png,0.2832323232323232,0.06214775824523246
80,100,random,1244,24.88,0.1318485886416416,topo_80_N100_random.png,0.2513131313131313,0.13372067813553914
81,100,random,2400,48.0,0.9035308041790072,topo_81_N100_random.png,0.48484848484848486,0.9163598419665387
82,100,random,1770,35.4,0.8210305489003786,topo_82_N100_random.png,0.3575757575757576,0.8326881834689439
83,100,random,1487,29.74,0.3933404984961023,topo_83_N100_random.png,0.3004040404040404,0.3989254548642011
84,100,random,1218,24.36,0.2814829346710893,topo_84_N100_random.png,0.24606060606060606,0.28547964976783907
85,100,random,1924,38.48,0.8147347295397287,topo_85_N100_random.png,0.3886868686868687,0.8263029711356275
86,100,random,1698,33.96,0.4876123437920404,topo_86_N100_random.png,0.343030303030303,0.4945358456308726
87,100,random,1378,27.56,0.4925806821208313,topo_87_N100_random.png,0.2783838383838384,0.4995747283172731
88,100,random,1301,26.02,0.3203490615118253,topo_88_N100_random.png,0.26282828282828286,0.32489762830813923
89,100,random,1188,23.76,0.1842560039256646,topo_89_N100_random.png,0.24,0.18687221493475112
90,100,random,1078,21.56,0.2287460056173919,topo_90_N100_random.png,0.21777777777777776,0.23199392050445425
91,100,random,1357,27.14,0.5620972067056129,topo_91_N100_random.png,0.27414141414141413,0.5700783029468691
92,100,random,986,19.72,0.1881688469069021,topo_92_N100_random.png,0.1991919191919192,0.1908406155242415
93,100,random,1785,35.7,0.6337467149440063,topo_93_N100_random.png,0.3606060606060606,0.6427451470020348
94,100,random,1532,30.64,0.4380025874977762,topo_94_N100_random.png,0.3094949494949495,0.4442216911742152
95,100,random,1806,36.12,0.8809598136805628,topo_95_N100_random.png,0.36484848484848487,0.8934683708727817
96,100,random,1238,24.76,0.3048153878034625,topo_96_N100_random.png,0.2501010101010101,0.3091433953381973
97,100,random,1592,31.84,0.6306329659704852,topo_97_N100_random.png,0.32161616161616163,0.6395871865826422
98,100,random,1770,35.4,0.4950239856475998,topo_98_N100_random.png,0.3575757575757576,0.5020527237805272
99,100,random,2176,43.52,0.8851453161372413,topo_99_N100_random.png,0.4395959595959596,0.8977133023704273
100,100,random,2289,45.78,0.912600965857774,topo_100_N100_random.png,0.4624242424242424,0.9255587889024076
101,100,random,2032,40.64,0.7946703882418219,topo_101_N100_random.png,0.4105050505050505,0.8059537406103671
102,100,random,1616,32.32,0.7058469007260675,topo_102_N100_random.png,0.32646464646464646,0.7158690676734965
103,100,random,1912,38.24,0.842569653892309,topo_103_N100_random.png,0.38626262626262625,0.8545331175378388
104,100,random,1017,20.34,0.1162944760264974,topo_104_N100_random.png,0.20545454545454545,0.1179457160512144
105,100,random,1417,28.34,0.1970200593551477,topo_105_N100_random.png,0.2862626262626263,0.19981750441698548
