Topology_ID,N,Topology_Type,Edges,Avg_Degree,Final_r(t),Image_File
0,100,random,1521,30.42,0.26829981994510577,topo_0_N100_random.png
1,100,random,1253,25.06,0.37221307774100854,topo_1_N100_random.png
2,100,random,1012,20.24,0.12946412935432433,topo_2_N100_random.png
3,100,random,1327,26.54,0.42779452410818036,topo_3_N100_random.png
4,100,random,1867,37.34,0.7678960530769452,topo_4_N100_random.png
5,100,random,2390,47.8,0.9218248874921757,topo_5_N100_random.png
6,100,random,1449,28.98,0.3225596743305589,topo_6_N100_random.png
7,100,random,1269,25.38,0.3338187989837604,topo_7_N100_random.png
8,100,random,2107,42.14,0.8232822560700498,topo_8_N100_random.png
9,100,random,2010,40.2,0.8096133812884507,topo_9_N100_random.png
10,100,random,2103,42.06,0.8904863657105336,topo_10_N100_random.png
11,100,random,1302,26.04,0.1093155821039325,topo_11_N100_random.png
12,100,random,1807,36.14,0.7175045012081419,topo_12_N100_random.png
13,100,random,2280,45.6,0.9225284652277522,topo_13_N100_random.png
14,100,random,2239,44.78,0.8986934991559846,topo_14_N100_random.png
15,100,random,1754,35.08,0.16957712177344098,topo_15_N100_random.png
16,100,random,1240,24.8,0.3691494731153327,topo_16_N100_random.png
17,100,random,1089,21.78,0.20164552167500896,topo_17_N100_random.png
18,100,random,1269,25.38,0.17142328017965747,topo_18_N100_random.png
19,100,random,1069,21.38,0.30649424643080375,topo_19_N100_random.png
20,100,random,1258,25.16,0.37734855022228747,topo_20_N100_random.png
21,100,random,1102,22.04,0.4563156273098505,topo_21_N100_random.png
22,100,random,1525,30.5,0.6223546335132474,topo_22_N100_random.png
23,100,random,1152,23.04,0.2125488316549744,topo_23_N100_random.png
24,100,random,1509,30.18,0.40552406009293473,topo_24_N100_random.png
25,100,random,1915,38.3,0.664912136497954,topo_25_N100_random.png
26,100,random,2238,44.76,0.9174290311508034,topo_26_N100_random.png
27,100,random,1491,29.82,0.5153978446459858,topo_27_N100_random.png
28,100,random,1275,25.5,0.1304993247988047,topo_28_N100_random.png
29,100,random,2042,40.84,0.7204328165632101,topo_29_N100_random.png
30,100,random,1222,24.44,0.09864170647340753,topo_30_N100_random.png
31,100,random,1895,37.9,0.7852658396195913,topo_31_N100_random.png
32,100,random,1207,24.14,0.23311250110255177,topo_32_N100_random.png
33,100,random,1189,23.78,0.35266919688135817,topo_33_N100_random.png
34,100,random,2290,45.8,0.9339357575485319,topo_34_N100_random.png
35,100,random,1248,24.96,0.23002187601145138,topo_35_N100_random.png
36,100,random,2200,44.0,0.8573681960117823,topo_36_N100_random.png
37,100,random,1388,27.76,0.4355416920597251,topo_37_N100_random.png
38,100,random,2046,40.92,0.7510869266130024,topo_38_N100_random.png
39,100,random,1861,37.22,0.8087135708730406,topo_39_N100_random.png
40,100,random,1214,24.28,0.42285196634677286,topo_40_N100_random.png
41,100,random,1720,34.4,0.6375775426117964,topo_41_N100_random.png
42,100,random,1825,36.5,0.8193816021930692,topo_42_N100_random.png
43,100,random,2231,44.62,0.9049722304531719,topo_43_N100_random.png
44,100,random,2218,44.36,0.8804239096738643,topo_44_N100_random.png
45,100,random,1620,32.4,0.7060054230064076,topo_45_N100_random.png
46,100,random,2430,48.6,0.9201434448354932,topo_46_N100_random.png
47,100,random,1159,23.18,0.280195596099276,topo_47_N100_random.png
48,100,random,1297,25.94,0.2293213108616684,topo_48_N100_random.png
49,100,random,2205,44.1,0.8756934820588734,topo_49_N100_random.png
50,100,random,1106,22.12,0.24007141825983283,topo_50_N100_random.png
51,100,random,1561,31.22,0.6967549971276521,topo_51_N100_random.png
52,100,random,2361,47.22,0.9210476866115447,topo_52_N100_random.png
53,100,random,2319,46.38,0.8814008887660201,topo_53_N100_random.png
54,100,random,1436,28.72,0.34040579288685546,topo_54_N100_random.png
55,100,random,1627,32.54,0.3016177077480833,topo_55_N100_random.png
56,100,random,1650,33.0,0.6751861598915736,topo_56_N100_random.png
57,100,random,1319,26.38,0.3692601552087731,topo_57_N100_random.png
58,100,random,1810,36.2,0.6750718724640762,topo_58_N100_random.png
59,100,random,1090,21.8,0.08697423682183014,topo_59_N100_random.png
60,100,random,2280,45.6,0.8684776483483867,topo_60_N100_random.png
61,100,random,1752,35.04,0.5430529630335106,topo_61_N100_random.png
62,100,random,1182,23.64,0.3348715000599708,topo_62_N100_random.png
63,100,random,1031,20.62,0.255993900114497,topo_63_N100_random.png
64,100,random,1807,36.14,0.6948724522849575,topo_64_N100_random.png
65,100,random,1210,24.2,0.33990623683384363,topo_65_N100_random.png
66,100,random,1056,21.12,0.14452993815402518,topo_66_N100_random.png
67,100,random,2116,42.32,0.9072310921660639,topo_67_N100_random.png
68,100,random,2496,49.92,0.9261491550506684,topo_68_N100_random.png
69,100,random,2361,47.22,0.8671815772678363,topo_69_N100_random.png
70,100,random,2110,42.2,0.8825066089626964,topo_70_N100_random.png
71,100,random,1924,38.48,0.8966467742967057,topo_71_N100_random.png
72,100,random,1009,20.18,0.15339101156207424,topo_72_N100_random.png
73,100,random,1665,33.3,0.6628374309478317,topo_73_N100_random.png
74,100,random,1022,20.44,0.1391017347412378,topo_74_N100_random.png
75,100,random,1555,31.1,0.6468219902895553,topo_75_N100_random.png
76,100,random,2112,42.24,0.9210439189894081,topo_76_N100_random.png
77,100,random,2377,47.54,0.9255759390175066,topo_77_N100_random.png
78,100,random,1158,23.16,0.17066848532599638,topo_78_N100_random.png
79,100,random,1402,28.04,0.06127768962979921,topo_79_N100_random.png
80,100,random,1244,24.88,0.13184858864164165,topo_80_N100_random.png
81,100,random,2400,48.0,0.9035308041790072,topo_81_N100_random.png
82,100,random,1770,35.4,0.8210305489003786,topo_82_N100_random.png
83,100,random,1487,29.74,0.39334049849610236,topo_83_N100_random.png
84,100,random,1218,24.36,0.28148293467108937,topo_84_N100_random.png
85,100,random,1924,38.48,0.8147347295397287,topo_85_N100_random.png
86,100,random,1698,33.96,0.4876123437920404,topo_86_N100_random.png
87,100,random,1378,27.56,0.4925806821208313,topo_87_N100_random.png
88,100,random,1301,26.02,0.32034906151182535,topo_88_N100_random.png
89,100,random,1188,23.76,0.1842560039256646,topo_89_N100_random.png
90,100,random,1078,21.56,0.22874600561739192,topo_90_N100_random.png
91,100,random,1357,27.14,0.5620972067056129,topo_91_N100_random.png
92,100,random,986,19.72,0.18816884690690217,topo_92_N100_random.png
93,100,random,1785,35.7,0.6337467149440063,topo_93_N100_random.png
94,100,random,1532,30.64,0.4380025874977762,topo_94_N100_random.png
95,100,random,1806,36.12,0.8809598136805628,topo_95_N100_random.png
96,100,random,1238,24.76,0.3048153878034625,topo_96_N100_random.png
97,100,random,1592,31.84,0.6306329659704852,topo_97_N100_random.png
98,100,random,1770,35.4,0.4950239856475998,topo_98_N100_random.png
99,100,random,2176,43.52,0.8851453161372413,topo_99_N100_random.png
100,100,random,2289,45.78,0.912600965857774,topo_100_N100_random.png
